Nota_P1,Nota_P2,Media_Trabalhos,Frequencia,Reprovacoes_Anteriores,Acessos_Plataforma_Mes,Status_Final
7.5,8.0,8.5,95,0,25,1
4.0,5.5,6.0,80,0,15,1
2.0,3.0,4.0,60,1,5,0
8.0,9.0,9.5,100,0,30,1
6.0,6.5,7.0,85,0,20,1
3.0,4.0,5.0,70,2,8,0
9.5,9.0,9.0,90,0,28,1
5.0,4.5,5.0,75,1,12,0
6.5,7.0,7.5,90,0,22,1
7.0,5.0,6.0,80,1,18,0
5.5,6.0,6.5,88,0,21,1
10.0,9.5,10.0,100,0,35,1
1.0,2.5,3.0,50,3,2,0
4.5,5.0,5.5,76,0,14,0
8.5,8.0,8.0,92,0,26,1
7.0,7.5,7.0,90,0,24,1
5.0,6.0,5.5,82,1,17,1
3.5,4.0,4.5,65,2,7,0
6.0,7.0,6.5,85,0,19,1
7.5,5.0,6.5,80,0,16,0
9.0,8.5,9.0,95,0,29,1
4.0,3.0,3.5,70,1,10,0
5.0,5.0,5.0,75,1,11,0
8.0,7.5,8.0,94,0,27,1
6.5,6.0,6.0,85,2,20,1
2.5,3.5,3.0,55,2,4,0
7.0,8.0,7.5,91,0,23,1
10.0,10.0,10.0,100,0,40,1
4.0,5.0,4.5,78,0,13,0
6.0,5.0,5.5,80,1,15,0
8.5,9.0,8.5,96,0,31,1
3.0,2.0,2.5,40,3,1,0
7.5,7.0,7.0,88,0,22,1
5.5,4.5,5.0,73,1,12,0
9.0,9.5,9.0,98,0,33,1
6.0,6.0,6.0,85,0,19,1
4.0,4.5,4.0,70,2,9,0
7.0,6.5,7.0,89,0,21,1
5.0,6.5,6.0,81,1,17,1
2.0,3.0,2.5,60,1,6,0
8.0,8.5,8.0,93,0,28,1
7.8,8.2,8.0,96,0,26,1
3.2,4.8,5.0,81,0,14,1
1.5,2.0,3.5,58,1,4,0
8.2,9.1,9.0,99,0,31,1
6.1,6.3,7.2,84,0,19,1
3.3,4.1,5.1,71,2,9,0
9.7,9.2,9.1,91,0,29,1
5.2,4.7,5.1,74,1,11,0
6.8,7.1,7.4,91,0,23,1
7.1,5.3,6.2,82,1,17,0
5.7,6.1,6.6,89,0,20,1
9.9,9.4,9.8,99,0,36,1
1.2,2.7,3.1,51,3,3,0
4.7,5.1,5.6,77,0,15,0
8.7,8.1,8.2,93,0,27,1
7.2,7.6,7.1,91,0,25,1
5.1,6.2,5.7,83,1,18,1
3.7,4.1,4.6,66,2,8,0
6.2,7.1,6.7,86,0,18,1
7.7,5.2,6.7,81,0,15,0
9.1,8.7,9.1,94,0,30,1
4.2,3.1,3.6,71,1,11,0
5.3,5.1,5.1,76,1,10,0
8.1,7.7,8.1,95,0,28,1
6.7,6.2,6.1,86,2,21,1
2.7,3.7,3.1,56,2,5,0
7.1,8.2,7.7,92,0,24,1
9.8,9.8,9.9,99,0,39,1
4.1,5.2,4.7,79,0,12,0
6.2,5.1,5.7,81,1,16,0
8.7,9.1,8.6,97,0,32,1
3.1,2.2,2.7,42,3,2,0
7.7,7.1,7.1,89,0,23,1
5.7,4.7,5.1,74,1,13,0
9.1,9.6,9.1,97,0,34,1
6.1,6.1,6.1,86,0,18,1
4.2,4.7,4.1,71,2,8,0
7.1,6.7,7.1,90,0,20,1
5.2,6.7,6.1,82,1,16,1
2.2,3.1,2.7,61,1,7,0
8.1,8.6,8.1,94,0,29,1
7.3,8.3,8.3,94,0,24,1
3.0,5.0,5.5,80,0,13,1
2.0,1.0,3.0,55,2,3,0
8.3,9.3,9.3,98,0,32,1
6.3,6.8,7.3,83,0,21,1
3.5,4.3,5.3,70,2,10,0
9.8,9.3,9.3,90,0,27,1
5.3,4.8,5.3,73,1,13,0
